"# of Use","# de uso"
"%1$s incl tax.","imposto de incl %1$ s."
"%s - %s","%s - %s"
"%s Item(s)","%s Item (ns)"
"%s and above","%s e acima"
(%d),(%d)
"(Copy data from: %s)","(Copiar dados de: %s)"
"* Required Fields","* Os campos obrigatórios"
"-- Please Select --","Por favor selecione..."
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 por padrão, se não for definido. Para atualizar instantaneamente, limpe o Cache de saída de HTML de blocos."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red""> aviso!</strong> Aplicar mapa por padrão irá esconder todos os preços do produto no frontend."
"A group with the same name already exists.","Um grupo com o mesmo nome já existe."
"A name is required","Um nome é necessário"
"A product type is not defined for the indexer.","Um tipo de produto não está definido para o indexador."
"ALL GROUPS","TODOS OS GRUPOS"
AM,AM
Action,Ação
"Actual Price","Preço real"
Add,Adicionar
"Add Attribute","Adicionar o atributo"
"Add Design Change","Adicionar mudança de Design"
"Add Group","Adicionar grupo"
"Add Group Price","Adicionar grupo preço"
"Add New","Adicionar novo"
"Add New Attribute","Adicionar novo atributo"
"Add New Attribute Set","Adicionar novo atributo conjunto"
"Add New Group","Adicionar novo grupo"
"Add New Images","Adicionar novas imagens"
"Add New Option","Adicionar nova opção"
"Add New Row","Adicionar nova linha"
"Add New Search Term","Adicionar novo termo de pesquisa"
"Add New Set","Adicionar novo conjunto"
"Add Product","Adicionar produto"
"Add Product To Websites","Adicionar produto para Websites"
"Add Root Category","Adicionar categoria raiz"
"Add Subcategory","Adicionar subcategoria"
"Add Tax","Adicionar imposto"
"Add Tier","Adicionar camada"
"Add attribute into attribute set","Adicionar um atributo ao conjunto de atributos"
"Add group into attribute set","Adicione o grupo no conjunto de atributos"
"Add new custom option into product","Adicionar nova opção personalizada para o produto"
"Add new values into custom option","Adicionar novos valores para a opção personalizada"
"Add option","Adicionar opção"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
"Additional Information","Informações adicionais"
"Alert Urls","Urls de alertas"
All,"Todos os"
"All Product Types","Todos os tipos de produto"
"All Websites","Todos os sites"
"All products","Todos os produtos"
"All products - recently added products, New products - products marked as new","Todos os produtos - recentemente adicionados produtos, novos produtos - produtos marcados como novo"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste conjunto serão excluídos! Tem certeza que deseja excluir este conjunto de atributo?"
"Allow All Products per Page","Permitir que todos os produtos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de mídia dinâmica nas categorias e produtos"
"Allow HTML Tags on Frontend","Permitir HTML Tags no Frontend"
"Allowed File Extensions","Permitido as extensões de arquivo"
"Allowed file extensions to upload","Permitido carregar as extensões de arquivo"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar produtos a websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar lista de comparação."
"An error occurred while deleting this review.","Ocorreu um erro ao excluir esta revisão."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover produtos de sites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar a reescrita de URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar o conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Ocorreu um erro ao salvar a coleção, abortando. Mensagem de erro: %s"
"An error occurred while saving the product. ","Ocorreu um erro ao guardar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a consulta de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar este grupo."
"An error occurred while saving this review.","Ocorreu um erro ao salvar esta revisão."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar excluir a categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos de produto (s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar o status de produto (s)."
"An invalid group ID is specified, skipping the record.","Uma ID de grupo inválido for especificada, ignorando o registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida ID é especificado para %s (%s), ignorando o registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
"Anchor Custom Text","Âncora de texto personalizado"
"Anchor Custom Title","Âncora título personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicáveis aos produtos de catálogo e categorias apenas. Qualquer conteúdo de mídia será inserido editor como um URL estático. Ele não é atualizado se a configuração do sistema base URL mudanças."
"Apply MAP (Default Value)","Aplicar o mapa (valor padrão)"
"Apply To","Aplicar a"
Approved,Aprovado
"Are you sure you want to delete this category?","Tem certeza que deseja excluir esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tens a certeza de que você gostaria de remover todos os produtos de sua comparação?"
"Are you sure you would like to remove this item from the compare products?","Tens a certeza de que você gostaria de remover este item de comparar produtos?"
"Are you sure?","Tem certeza?"
"As low as:","Tão baixo quanto:"
Assign,Atribuir
"Assign product link","Atribuir o link do produto"
"Assign product to category","Atribuir o produto a categoria"
"Assigned Products","Produtos atribuídos"
"Associated Products","Produtos associados"
"Attrib. Set Name","Nome do conjunto de attrib."
"Attribute ""%s"" is invalid.","Atributo ""%s"" é inválido."
"Attribute ""%s"" is required.","Atributo ""%s"" é necessária."
"Attribute Information","Informações de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nome do atributo:"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjuntos de atributo"
"Attribute add","Adicionar o atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Atributo código é inválido. Por favor, use somente letras (a-z), números (0-9) ou underscore(_) neste campo, o primeiro caractere deve ser uma carta."
"Attribute group with the \"/name/\" name already exists","Grupo de atributo com o \"/name/\" nome já existe."
"Attribute remove","Remova o atributo"
"Attribute with the same code already exists","Atributo com o mesmo código já existe"
Attributes,Atributos
"Attrribute names can be specified per store.","Nomes de Attrribute podem ser especificados por loja."
Autogenerate,AutoGenerate
Availability:,Disponibilidade:
Back,Voltar
"Backend Model","Modelo de back-end"
"Backend Table","Tabela de back-end"
"Backend Table Title","Título da tabela de back-end"
Backorders,"Ordens pendentes"
"Based On","Com base na"
"Before Order Confirmation","Antes da confirmação da ordem"
"Best Value","Melhor valor"
"Block after Info Column","Bloco após a coluna de informações"
"Bottom Block Options Wrapper","Fundo bloco opções Wrapper"
Bottom/Left,"Parte inferior/esquerda"
Bottom/Right,Bottom/Right
"Browse By","Navegue por"
"Bundle Items","Itens do pacote"
"Buy %1$s","Comprar %1$ s"
"Buy %1$s for","Comprar %1$ s para"
"Buy %1$s for %2$s","Comprar %1$ s por %2$ s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$ s por %2$ s (%3$ s com incl. imposto) cada"
"Buy %1$s for %2$s each","Comprar %1$ s por %2$ s cada"
"Cache Lifetime (Seconds)","Vida de cache (segundos)"
"Cache refresh needed.","Atualização de cache necessária."
"Can be Divided into Multiple Boxes for Shipping","Pode ser dividido em várias caixas para transporte"
"Can be used only with catalog input type Dropdown","Pode ser usado somente com o tipo de entrada de catálogo Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pode ser usado somente com o catálogo entrada tipo no menu suspenso, selecione múltiplo e preço"
"Can\'t create image.","Can\ ' t criar imagem."
Cancel,Cancelar
"Cannot create image.","Não é possível criar a imagem."
"Cannot create writeable directory '%s'.","Não é possível criar o diretório gravável ' %s'."
"Cart Item Attribute","Atributo de Item do carrinho"
Catalog,Catálogo
"Catalog Category (Anchor)","Categoria do catálogo (âncora)"
"Catalog Category (Non-Anchor)","Categoria do catálogo (Non-âncora)"
"Catalog Category (Without Subcategories)","Categoria do catálogo (sem subcategorias)"
"Catalog Category Link","Catálogo categoria Link"
"Catalog New Products List","Nova lista de produtos catálogo"
"Catalog Price Scope","Escopo do preço de catálogo"
"Catalog Product Compare List","Lista de comparação de produtos catálogo"
"Catalog Product Email to a Friend","Catálogo produto E-mail a um amigo"
"Catalog Product Image Gallery Popup","Galeria de imagens de produto catálogo Popup"
"Catalog Product Link","Catálogo produto Link"
"Catalog Product View (Any)","Exibição do produto catálogo (qualquer)"
"Catalog Product View (Configurable)","Exibição de produto do catálogo (configurável)"
"Catalog Product View (Grouped)","Exibição de produto do catálogo (agrupada)"
"Catalog Product View (Simple)","Exibição de produto do catálogo (simples)"
"Catalog Product View (Virtual)","Exibição de produto do catálogo (Virtual)"
"Catalog Section","Seção de catálogo"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Sitemap (lista de categorias)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Sitemap (árvore de categoria)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Sitemap (comum)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Sitemap (lista de produtos)"
"Catalog URL Rewrites","Catálogo URL regravações"
"Catalog product custom option values API","Catálogo de valores de opção personalizada do produto API"
"Catalog product custom options API","Catálogo de opções personalizadas de produto API"
"Catalog, Search","Catálogo, pesquisa"
Categories,Categorias
"Categories Sitemap","Categorias Sitemap"
Category,Categoria
"Category API","Categoria API"
"Category Data","Categoria dados"
"Category Flat Data","Categoria de dados plana"
"Category Link Block Template","Categoria modelo de bloco de ligação"
"Category Link Inline Template","Categoria Link embutido modelo"
"Category Products","Categoria produtos"
"Category Top Navigation","Categoria navegação superior"
"Category URL Suffix","Categoria URL sufixo"
"Category attributes API","Atributos categoria API"
"Category move error","Erro de mudança de categoria"
"Category move error %s","Categoria mover erro %s"
"Category move operation is not possible: parent category is equal to child category.","Operação de mudança de categoria não é possível: categoria pai é igual a categoria infantil."
"Category move operation is not possible: the current category was not found.","Operação de mudança de categoria não é possível: a categoria atual não foi encontrada."
"Category move operation is not possible: the new parent category was not found.","Operação de mudança de categoria não é possível: a nova categoria do pai não foi encontrada."
"Category must be an instance of Mage_Catalog_Model_Category.","A categoria deve ter uma instância de Mage_Catalog_Model_Category."
Center,Centro
Change,Mudança
"Change or Retrieve attribute store view","Alterar ou recuperar o atributo loja vista"
"Change status","Alterar status"
"Check items to add to the cart or","Verifique itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
"Clear All","Apagar tudo"
"Clear Price","Preço claro"
"Click for price","Clique para preço"
"Close Window","Fechar janela"
"Collapse All","Recolher tudo"
Comma-separated.,"Separados por vírgula."
Comparable,Comparáveis
"Comparable on Front-end","Comparáveis em front-end"
"Comparable on the Frontend","Comparável no Frontend"
Compare,Comparar
"Compare Products","Comparar produtos"
"Conditions Combination","Combinação de condições"
"Configurable Product","Produto configurável"
"Configurable Product Settings","Configurações de produto configurável"
"Configure Product","Configurar o produto"
Continue,Continuar
"Copy From Configurable","Copiem configurável"
Country/State,Estado/país
Create,Criar
"Create (Upload)","Criar (Upload)"
"Create Empty","Criar vazio"
"Create Permanent Redirect for URLs if URL Key Changed","Criar redirecionamento permanente para URLs se chave de URL alterada"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para a URL antiga"
"Create Product Settings","Criar configurações de produto"
"Create Simple Associated Product","Criar simples produto associado"
"Create attribute set based on another set","Criar o conjunto de atributos com base em um outro conjunto"
"Create new attribute","Criar novo atributo"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
Cross-sells,Vende-Cruz
"Currently Shopping by:","Atualmente comprando por:"
"Custom Design","Design personalizado"
"Custom Options","Opções personalizadas"
"Custom options","Opções personalizadas"
"Customer Group","Grupo de clientes"
"Customers Reviews","Comentários de clientes"
"Customers Tagged Product","Produto etiquetado de clientes"
"Data Type for Saving in Database","Tipo de dados para salvar no banco de dados"
"Date & Time Custom Options","Data de & tempo de opções personalizadas"
"Date Fields Order","Ordem de campos de data"
"Date Subscribed","Data subscrita"
Datetime,DateTime
Decimal,Decimal
"Declare attribute value saving scope","Declarar o valor do atributo economia de escopo"
"Default ""What's This"" Text Message","Padrão ""Que é isto"" mensagem de texto"
"Default Popup Text Message","Mensagem de texto pop-up padrão"
"Default Price","Preço padrão"
"Default Price Navigation Step","Etapa de navegação padrão preço"
"Default Qty","Qtde padrão"
"Default Values","Valores padrão"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Define o escopo da moeda base (""Configuração de moeda"" > ""Opções de moeda"" > ""Moeda-Base"")."
Delete,Excluir
"Delete Attribute","Exclua o atributo"
"Delete Attribute Set","Excluir o conjunto de atributos"
"Delete Category","Excluir categoria"
"Delete Group Price","Excluir grupo preço"
"Delete Option","Excluir opção"
"Delete Row","Excluir linha"
"Delete Search","Apagar pesquisa"
"Delete Selected Group","Apagar grupo seleccionado"
"Delete Tier","Excluir camada"
"Delete attribute","Exclua o atributo"
"Delete category","Excluir categoria"
"Delete product","Excluir produto"
"Depends on design theme","Depende do tema do projeto"
Design,Design
Details,Detalhes
Disabled,"Com deficiência"
"Disallowed file type.","Não permitido o tipo de arquivo."
"Display Actual Price","Preço de exibição real"
"Display Page Control","Exibir página de controle"
"Display Price Interval as One Price","Intervalo de preço de visualização como um preço"
"Display Product Count","Contagem de exposição do produto"
"Display Type","Tipo de exposição"
"Display in Suggested Terms","Exibição em sugeriu termos"
"Double click on a group to rename it","Clique duas vezes em um grupo para renomeá-lo"
"Double click on above image to view full picture","Clique duas vezes no acima na imagem para ver imagem completa"
"Downloadable Information","Informações para download"
Duplicate,Duplicar
"Duplicate website group price customer group.","Duplica o grupo de clientes do site grupo preço."
"Duplicate website tier price customer group and quantity.","Duplicar a quantidade e grupo de clientes de preço de nível de site."
"Duplicate website, country and state tax found.","Duplica o site, país e estado fiscal encontrado."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Por exemplo, {{url=""path/to/image.jpg mídia""}} {{url=""path/to/picture.gif pele""}}. Desempenho de catálogo de directivas dinâmicas, análise de impactos."
Edit,Editar
"Edit Attribute Set '%s'","Editar atributo conjunto ' %s'"
"Edit Product Attribute","Editar atributo de produto"
"Edit Product Attribute ""%s""","Editar atributo de produto ""%s"""
"Edit Search","Editar pesquisa"
"Edit Search '%s'","Editar pesquisa ' %s'"
"Edit Set Name","Editar o nome do conjunto de"
Email,Email
"Email to a Friend","E-mail a um amigo"
Empty,Vazio
"Enable MAP","Habilitar o mapa"
"Enable Qty Increments","Habilitar Qty incrementos"
"Enable WYSIWYG","Habilitar WYSIWYG"
"Enable for reindexing a big number of SKUs.","Habilite para reindexação de um grande número de SKUs."
Enabled,Habilitado
"Error during retrieval of option value: %s","Erro durante a recuperação do valor de opção: %s"
Exclude,Excluir
"Expand All","Expandir tudo"
Failed,Falhou
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o arquivo %s. Por favor, excluir a mídia com imagens inexistentes e tente novamente."
"Failed to move file: %s","Falha ao mover o arquivo: %s"
"Feature Products","Característica de produtos"
"Field is not complete","Campo não está completo"
"File options format is not valid.","Formato de arquivo de opções não é válido."
"File upload failed","Upload do arquivo falhado"
"Filter model name must be declared.","Nome do modelo de filtro deve ser declarado."
"Filter must be an object. Please set correct filter.","Filtro deve ser um objeto. Por favor, defina o filtro correto."
"Filterable (no results)","Filtrável (nenhum resultado)"
"Filterable (with results)","Filtrável (com resultados)"
"First Name","Primeiro nome"
Fixed,Fixo
"For internal use.","Para uso interno."
"For the last time placed.","Pela última vez colocado."
Frontend,Frontend
"Frontend Model","Modelo de frontend"
"Frontend Properties","Propriedades de frontend"
Gallery,Galeria
"General Information","Informações gerais"
"Get full information about attribute with list of options","Obter informações completas sobre o atributo com lista de opções"
"Get full information about custom option in product","Obter informações completas sobre a opção personalizada no produto"
"Get list of available custom option types","Obter lista de tipos de opção personalizada disponível"
"Get list of non-default attributes by product type and attributes set","Obter lista de atributos não-padrão, conjunto de atributos e o tipo de produto"
"Get list of possible attribute types","Obter lista de tipos de atributo possível"
"Get special price","Obter um preço especial"
Global,Global
"Globally Editable","Globalmente editável"
"Go to Home Page","Ir para página inicial"
Grid,Grade
"Group add","Adicionar grupo"
"Group remove","Remover grupo"
"Grouped Product","Produto agrupado"
Groups,Grupos
Home,Casa
ID,ID
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se estiver vazio, será usado o nome da categoria"
"If empty, the Product Name will be used","Se estiver vazio, será usado o nome do produto"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se você não especificar um valor de opção para exibir uma loja específica, em seguida, o padrão (Admin) valor será usado."
Image,Imagem
"Image content is not valid base64 data.","Conteúdo da imagem não é válido base64 de dados."
"Image does not exist.","Imagem não existe."
"Image file was not found.","Arquivo de imagem não foi encontrado."
"Image type and information need to be specified for each store view.","Tipo de imagem e informação precisam ser especificado para cada modo de exibição de loja."
"In Cart","No carrinho"
"In Stock","Em estoque"
"In stock","Em estoque"
"Incl. Tax","Imposto incl."
"Index product and categories URL rewrites","Índice de produtos e categorias URL regrava"
"Index product attributes for layered navigation building","Atributos de produto índice para a construção de navegação em camadas"
"Index product prices","Índice de preços de produtos"
"Indexed category/products association","Associação de categoria/produtos indexados"
Info,Informação
"Info Column Options Wrapper","Informação coluna opções Wrapper"
"Input Type","Tipo de entrada"
Integer,"Número inteiro"
"Interval Division Limit","Limite de divisão do intervalo"
"Invalid Tier Prices","Preços de nível inválido"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido especificada para o atributo %s (%s), ignorando o registro."
"Invalid attribute set specified, skipping the record.","Inválido atributo definido especificado, ignorando o registro."
"Invalid block: %s.","Bloco inválido: %s."
"Invalid category IDs.","Categoria inválida IDs."
"Invalid category.","Categoria inválida."
"Invalid image file type.","Tipo de arquivo de imagem inválido."
"Invalid image type.","Tipo de imagem inválido."
"Invalid option ID specified for %s (%s), skipping the record.","Inválido opção ID especificado para %s (%s), ignorando o registro."
"Invalid product type specified, skipping the record.","Tipo de produto inválido especificado, ignorando o registro."
"Invalid store specified","Loja inválida especificada"
"Invalid store specified, skipping the record.","Loja inválida especificada, ignorando o registro."
"Invalid tier prices. The product is not associated to the requested website.","Preços de nível inválido. O produto não está associado ao site solicitado."
Inventory,Inventário
"Is Default","É o padrão"
"Is Required","É necessário"
"Items %s to %s of %s total","Itens %s a %s do %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que você não quer mostrar nos resultados do catálogo ou pesquisa devem ter status 'Disabled' na loja desejada."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que não deseja mostrar no catálogo ou Pesquisar resultados devem ter status 'Desativado' na loja desejada."
"Keep your eyes open for our special Back to School items and save A LOT!","Mantenha os olhos abertos para as nossas costas especial para itens de escola e economizar muito!"
Label,Rótulo
"Last Name","Último nome"
"Last Notification","Última notificação"
"Layered Navigation","Navegação em camadas"
"Learn More","Saiba Mais"
"Line %d, Email: %s","Linha %d, E-mail: %s"
"Line %d, SKU: %s","Linha %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (relacionado, Up sell, Cross sell)"
"Link product does not exist.","Produto do link não existe."
"Link to a Specified Category","Link para uma categoria especificada"
"Link to a Specified Product","Link para um produto especificado"
List,Lista
"List Mode","Modo de lista"
"List of Products that are set as New","Lista de produtos que são definidas como nova"
"List of types","Lista de tipos de"
"Manage Attribute Sets","Gerenciar conjuntos de atributo"
"Manage Attributes","Gerenciar atributos"
"Manage Catalog Categories","Gerenciar categorias de catálogo"
"Manage Categories","Gerenciar categorias"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Manage Options (values of your attribute)","Gerenciar opções (valores de atributo)"
"Manage Product Attributes","Gerenciar atributos de produto"
"Manage Product Sets","Gerenciar conjuntos de produtos"
"Manage Products","Gerenciar produtos"
"Manage Stock","Gerenciar estoque"
"Manage Titles (Size, Color, etc.)","Gerenciar títulos (tamanho, cor, etc.)"
"Max Characters","Personagens Max"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamanho máximo da imagem"
"Maximum Number of Price Intervals","Máximo número de intervalos de preço"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Maximum allowed image size for '%s' is %sx%s px.","Máximo permitido tamanho da imagem para ' %s' é %s x %s px."
"Maximum image height","Altura máxima da imagem"
"Maximum image width","Largura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"Maximum number of price intervals is 100","Máximo número de intervalos de preço é de 100"
"Media Image","Mídia imagem"
"Minimum Advertised Price","Mínimo anunciado preço"
"Minimum Lines per Page","Mínimas linhas por página"
"Minimum Qty Allowed in Shopping Cart","Qty mínima permitida no carrinho de compras"
"Minimum Qty for Item\'s Status to be Out of Stock","Qty mínima para o Status do Item\ estar fora de estoque"
"Missing SKU, skipping the record.","Faltando SKU, ignorando o registro."
"More Views","Mais vistas"
Move,Mover-se
"Move category in tree","Mudança de categoria na árvore"
"Must be in the allowed values list.","Deve estar na lista de valores permitidos."
N/A,N/A
Name,Nome
"Name in %s","Nome em %s"
"New Product","Produto novo"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos produtos"
"New Products Grid Template","Novo modelo de grade de produtos"
"New Products List Template","Novo modelo de lista de produtos"
"New Root Category","Nova categoria de raiz"
"New Search","Nova pesquisa"
"New Set Name","Novo nome do conjunto"
