"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","%s foi atualizado no seu carrinho de compras."
"* Required Fields","* Os campos obrigatórios"
"Add New Address","Adicionar novo endereço"
"Add New Condition","Adicionar a nova condição"
"Add coupon code for shopping cart","Adicionar o código do cupom por carrinho de compras"
"Add gift messages to shopping cart","Adicionar mensagens presente ao carrinho de compras"
"Add product to shopping cart","Adicionar produto ao carrinho de compras"
"Add product(s) to shopping cart","Adicionar produto (s) ao carrinho de compras"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à lista de desejos"
"Additional Product Info","Informação adicional do produto"
Address,Endereço
"Address %s of %s","Endereço %s do %s"
"After Adding a Product Redirect to Shopping Cart","Depois de adicionar um redirecionamento do produto ao carrinho de compras"
"Allow Guest Checkout","Permitir comentários Checkout"
"Already registered?","Já registrado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao excluir esta condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar esta condição."
"Apply Coupon","Aplicar cupom"
"Are you sure you would like to remove this item from the shopping cart?","Tens a certeza de que você gostaria de remover este item do carrinho de compras?"
Back,Voltar
"Back to Billing Information","Para informações de faturamento"
"Back to Select Addresses","Volta para selecionar endereços"
"Back to Shipping Information","Para informações de envio"
"Back to Shopping Cart","Volta ao carrinho de compras"
"Based on your selection, you may be interested in the following items:","Com base na sua seleção, você pode estar interessado nos seguintes itens:"
"Billing Address","Endereço de facturação"
"Billing Information","Informações de faturamento"
"Billing Information - %s","Informações de faturamento - %s"
"Cancel Coupon","Cancelar cupom"
"Cannot add item to the shopping cart.","Não é possível adicionar item ao carrinho de compras."
"Cannot add the item to shopping cart","Não é possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não é possível adicionar o item ao carrinho de compras."
"Cannot apply the coupon code.","Não é possível aplicar o código do cupom."
"Cannot configure product.","Não é possível configurar o produto."
"Cannot open the overview page","Não consigo abrir a página de visão geral"
"Cannot process the item.","Não é possível processar o item."
"Cannot remove the item.","Não é possível remover o item."
"Cannot update shopping cart.","Não é possível atualizar carrinho de compras."
"Cannot update the item.","Não é possível atualizar o item."
"Card Verification Number Visual Reference","Verificação de cartão número referência Visual"
"Cart Product API","Carrinho produto API"
"Cart Subtotal:","Subtotal do carrinho:"
Change,Mudança
"Change Billing Address","Alterar endereço de cobrança"
"Checkbox Text","Caixa de seleção de texto"
Checkout,Check-out
"Checkout Conditions","Condições de check-out"
"Checkout Method","Método checkout"
"Checkout Options","Opções de check-out"
"Checkout Progress Wrapper","Check-out progresso Wrapper"
"Checkout Section","Seção de check-out"
"Checkout Terms and Conditions","Termos e condições de check-out"
"Checkout as Guest","Check-out como convidado"
"Checkout as a Guest or Register","Check-out como um convidado ou registrar"
"Checkout with Multiple Addresses","Check-out com múltiplos endereços"
City,Cidade
"Clear Shopping Cart","Limpar o carrinho de compras"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'""> aqui para imprimir</a> uma cópia da sua confirmação de pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s""> aqui</a> para continuar comprando."
Close,Fechar
Company,Empresa
"Condition Name","Nome da condição"
"Configurable Product Image","Imagem de produto configurável"
"Configure Cart Item","Configurar o Item do carrinho"
"Confirm Password","Confirmar senha"
Content,Conteúdo
"Content Height","Altura de conteúdo"
"Content Height (css)","Altura de conteúdo (css)"
Continue,Continuar
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a informações de faturamento"
"Continue to Review Your Order","Continuar a rever o seu pedido"
"Continue to Shipping Information","Continuar a informações de envio"
Country,País
"Coupon code ""%s"" is not valid.","Código de cupom ""%s"" não é válido."
"Coupon code ""%s"" was applied.","Código de cupom ""%s"" foi aplicado."
"Coupon code was canceled.","Código de cupom foi cancelado."
"Create Billing Address","Criar o endereço de facturação"
"Create Shipping Address","Criar o endereço de entrega"
"Create an order from shopping cart","Criar uma ordem de carrinho de compras"
"Create shopping cart","Criar carrinho de compras"
"Customer Address is not valid.","Endereço do cliente não é válido."
"Customer Information","Informações do cliente"
"Customer's information","Informações do cliente"
"Data saving problem","Economia o problema dos dados"
"Default Billing","Padrão de faturamento"
"Default Shipping","Padrão de envio"
"Delete Condition","Excluir condição"
Details,Detalhes
Disabled,"Com deficiência"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Resumo do carrinho de exposição"
"Display Shopping Cart Sidebar","Exibir a barra lateral do carrinho de compras"
"Display item quantities","Quantidades de item de exibição"
"Display number of items in cart","Exibir o número de itens no carrinho"
"Display number of items in wishlist","Exibir o número de itens na lista de desejos"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e status"
Edit,Editar
"Edit Address","Editar endereço"
"Edit Billing Address","Editar o endereço de facturação"
"Edit Condition","Editar condição"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar o endereço de entrega"
"Edit Terms and Conditions","Edite os termos e condições"
"Edit Your Cart","Editar o seu carrinho"
"Edit item","Editar item"
"Edit item parameters","Editar os parâmetros do item"
"Email Address","Endereço de e-mail"
"Enable Onepage Checkout","Habilitar verificação de Geoparques"
"Enable Terms and Conditions","Habilitar os termos e condições"
Enabled,Habilitado
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Digite seu código de cupom, se tiver um."
"Enter your destination to get a shipping estimate.","Digite seu destino para obter uma estimativa de frete."
"Estimate Shipping and Tax","Estimativa de frete e impostos"
"Excl. Tax","Fiscais excl."
"Fast and easy check out","Rápido e fácil Confira"
Fax,Fax
"Forgot an Item?","Esqueci um Item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Faça uma cotação"
"Get list of available payment methods","Obter lista de métodos de pagamento disponíveis"
"Get list of available shipping methods","Obter lista de métodos disponíveis de transporte"
"Get list of products in shopping cart","Obter a lista de produtos no carrinho de compras"
"Get terms and conditions","Termos e condições"
"Get total prices for shopping cart","Obter preços totais para carrinho de compras"
"Gift Message","Mensagem de Dom"
"Grand Total:","Total geral:"
"Grouped Product Image","Imagem do produto agrupado"
HTML,HTML
ID,ID
"Incl. Tax","Imposto incl."
"Invalid checkout type.","Tipo de saída inválido."
"Invalid data.","Dados inválidos."
"Invalid email address ""%s""","Endereço de e-mail inválido ""%s"""
"Invalid method: %s","Método inválido: %s"
"Invalid shipping method.","Método de envio inválido."
"Item not found or already ordered","Item não encontrado ou já ordenou"
Items,Itens
"Items After","Itens após"
"Items Before","Itens antes"
"Load customer quote error","Erro de citação de cliente de carga"
"Loading next step...","Próxima etapa de carregamento..."
Login,Login
"Login/Registration Before","Login/Registro antes"
"Manage Terms and Conditions","Gerenciar os termos e condições"
"Maximum Display Recently Added Item(s)","Exposição máxima recentemente adicionado Item (ns)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Qty máximo permitido para envio para vários endereços é %s"
"Minimum order amount is %s","Quantidade de ordem mínima é %s"
Move,Mover-se
"Move to Wishlist","Mover para lista de desejos"
"Multishipping Checkout","Checkout multishipping"
"Multishipping Checkout Address (Any) Form","Checkout multishipping forma de endereço (qualquer)"
"Multishipping Checkout Billing Address Creation","Checkout multishipping criação do endereço de faturamento"
"Multishipping Checkout Billing Address Edit Form","Checkout multishipping forma de editar endereço de faturamento"
"Multishipping Checkout Billing Address Selection","Checkout multishipping seleção de endereço de cobrança"
"Multishipping Checkout Billing Information Step","Multishipping Checkout passo informações de faturamento"
"Multishipping Checkout Customer Address Edit Form","Forma de editar endereço de cliente multishipping Checkout"
"Multishipping Checkout Overview","Visão geral de Checkout multishipping"
"Multishipping Checkout Shipping Address Creation","Checkout multishipping criação de endereço de envio"
"Multishipping Checkout Shipping Address Edit Form","Checkout multishipping forma de editar endereço de envio"
"Multishipping Checkout Shipping Address Selection","Checkout multishipping seleção de endereço de envio"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout passo informações de envio"
"Multishipping Checkout Success","Multishipping sucesso de checkout"
"My Cart","Meu carrinho"
"My Cart (%s item)","Meu carrinho (%s item)"
"My Cart (%s items)","Meu carrinho (%s itens)"
"My Cart Link","Meu Link do carrinho"
"New Address","Novo endereço"
"New Condition","Nova condição"
"New Terms and Conditions","Novos termos e condições"
"No Payment Methods","Não há métodos de pagamento"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","TOTAL DO PEDIDO SERÁ EXIBIDA ANTES DE SUBMETER A ENCOMENDA"
"One Page Checkout","Uma página de Checkout"
"One Page Checkout Failure","Falha de uma página de Checkout"
"One Page Checkout Overview","Visão geral de uma página de Checkout"
"One Page Checkout Success","Sucesso de uma página de Checkout"
"One item of products do not have identifier or sku","Um item de produtos não tem identificador ou sku"
"One item of products is not belong any of quote item","Um item de produtos não é pertencer a qualquer item de citação"
"Order #","Ordem #"
"Order Review","Revisão da ordem"
"Order Success","Sucesso de ordem"
"Order place error.","Erro de ordem local."
"Other Items in Your Order","Outros itens em seu pedido"
"Overview Items After","Visão geral itens após"
Password,Senha
"Payment Failed Email Reciever","Pagamento falhou a Email receptor"
"Payment Failed Email Sender","Pagamento falhou E-mail remetente"
"Payment Failed Emails","Pagamento falhou E-mails"
"Payment Failed Template","Falha de pagamento modelo"
"Payment Information","Informações de pagamento"
"Payment Method","Método de pagamento"
"Payment Methods After Checkout Button","Métodos de pagamento após o botão Checkout"
"Payment Methods Before Checkout Button","Métodos de pagamento antes de botão Checkout"
"Payment method information","Informações de método de pagamento"
"Payment method is not defined","Método de pagamento não está definido"
"Payment methods in shopping cart","Métodos de pagamento no carrinho de compras"
"Payment profile # %s: ""%s"".","Perfil de pagamento # %s: ""%s""."
"Place Order","Ordem do lugar"
"Please agree to all Terms and Conditions before placing the order.","Por favor, concordo com todos os termos e condições antes de fazer a encomenda."
"Please agree to all Terms and Conditions before placing the orders.","Por favor, concordo com todos os termos e condições antes de colocar as ordens."
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de fazer a encomenda."
"Please check billing address information.","Por favor, verifique as informações de endereço de cobrança."
"Please check shipping address information.","Por favor, verifique as informações de endereço de envio."
"Please check shipping addresses information.","Por favor, verifique as informações de endereços transporte."
"Please choose to register or to checkout as a guest","Por favor, escolha registrar ou para finalizar como um convidado"
"Please log in below:","Efetue o login abaixo:"
"Please select region, state or province","Por favor selecione a região, estado ou província"
"Please select shipping address for applicable items","Por favor, selecione o endereço de entrega para itens aplicáveis"
"Please select shipping methods for all addresses","Por favor selecione métodos de expedição para todos os endereços"
"Please select valid payment method.","Por favor, selecione o método de pagamento válido."
"Please specify payment method.","Por favor, especifique o método de pagamento."
"Please specify shipping method.","Por favor, especifique o método de envio."
"Please specify shipping methods for all addresses.","Por favor especifica métodos de expedição para todos os endereços."
Price,Preço
"Proceed to Checkout","Avançar para Checkout"
Product,Produto
"Product Name","Nome do produto"
Products,Produtos
Qty,Qty
Qty:,Qty:
"Quantity was recalculated from %d to %d","Quantidade foi recalculada a partir %d a %d"
"Quote Lifetime (days)","Citar o tempo de vida (dias)"
"Quote item does not exist.","Passo a citar o item não existir."
"Quote item is not found.","Passo a citar o item não for encontrado."
"Recently added item(s)","Recentemente adicionado itens"
Register,Registre-se
"Register and save time!","Cadastro e economize tempo!"
"Register to Create an Account","Registre-se para criar uma conta"
"Register with us for future convenience:","Registre-se conosco para conveniência futura:"
"Remove Item","Remover Item"
"Remove This Item","Remover este Item"
"Remove coupon code from shopping cart","Remover o código do cupom do carrinho de compras"
"Remove item","Remover item"
"Remove product from shopping cart","Remover o produto do carrinho de compras"
"Remove product(s) from shopping cart","Remover produtos do carrinho de compras"
"Require Customer To Be Logged In To Checkout","Exigir do cliente a ser logado para Checkout"
"Retrieve information about shopping cart","Recuperar informações sobre o carrinho de compras"
"Review Order","Pedido de revisão"
"Review Order - %s","Rever a ordem - %s"
Sales,Vendas
"Save Condition","Salvar a condição"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Consulte preço antes da confirmação da encomenda."
"Select Address","Selecione endereço"
"Select Addresses","Selecione endereços"
"Select Shipping Method","Selecione o método de envio"
"Select State/Province...","Selecione Estado/província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança do seu livro de endereços ou insira um novo endereço."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de entrega do seu livro de endereços ou insira um novo endereço."
"Send Payment Failed Email Copy Method","Enviar pagamento falhou o método de cópia de E-mail"
"Send Payment Failed Email Copy To","Enviar pagamento falhou a cópia do E-mail para"
"Send To","Enviar para"
"Separate by "","".","Separados por "",""."
"Set customer for shopping cart","Definir o cliente para o carrinho de compras"
"Set customer's addresses in shopping cart","Definir endereços de cliente no carrinho de compras"
"Set payment method","Método de pagamento definido"
"Set shipping method","Definir o método de envio"
"Ship to Multiple Addresses","Enviados para vários endereços"
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Shipping Address","Endereço de envio"
"Shipping Information","Informações de envio"
"Shipping Method","Método de envio"
"Shipping Methods","Métodos do transporte"
"Shipping To","Frete para"
"Shipping information","Informações de envio"
"Shipping method has not been selected yet","Método de envio não foi selecionado ainda"
"Shipping methods in shopping cart","Métodos no carrinho de compras do transporte"
"Shipping selection is not applicable.","Seleção de transporte não é aplicável."
"Shopping Cart","Carrinho de compras"
"Shopping Cart Form Before","Compras carrinho forma antes"
"Shopping Cart Sidebar","Barra lateral do carrinho de compras"
"Shopping Cart Sidebar Extra Actions","Compras carrinho lateral Extra ações"
"Shopping Cart is Empty","Carrinho de compras está vazio"
"Shopping cart ability to set coupon code","Compras carrinho capacidade para definir o código do cupom"
"Show Content as","Mostrar o conteúdo como"
"Some of the requested products are not available in the desired quantity.","Alguns dos produtos solicitados não estão disponíveis na quantidade desejada."
"Some of the requested products are unavailable.","Alguns dos produtos solicitados estão disponíveis."
"Some products quantities were recalculated because of quantity increment mismatch","Algumas quantidades de produtos foram recalculadas devido à incompatibilidade de incremento de quantidade"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Desculpa, caixa de comentários não está habilitada. Por favor, tente novamente ou entre em contato com o dono da loja."
"Sorry, no quotes are available for this order at this time.","Desculpa, sem aspas estão disponíveis para esta ordem neste momento."
State/Province,Estado/província
Status,Status
"Store View","Vista da loja"
"Street Address","Endereço rua"
"Street Address %s","Endereço rua %s"
"Submitting order information...","Apresentar informações de ordem..."
Subtotal,Subtotal
"Subtotal must exceed minimum order amount","Subtotal deve exceder a quantidade de ordem mínima"
Telephone,Telefone
"Terms and Conditions","Termos e condições"
"Terms and Conditions Information","Termos e condições de informação"
"Terms and conditions","Termos e condições"
Text,Texto
"Thank you for your purchase!","Obrigado por sua compra!"
"The condition has been deleted","A condição foi excluída"
"The condition has been saved.","A condição foi salvo."
"The onepage checkout is disabled.","O checkout de Geoparques é desativado."
"The product could not be found.","O produto não pôde ser encontrado."
"The product does not exist.","O produto não existe."
"There are <a href=""%s"">%s items</a> in your cart.","Há <a href=""%s""> %s itens</a> no seu carrinho."
"There is <a href=""%s"">1 item</a> in your cart.","Há <a href=""%s""> 1 item</a> no seu carrinho."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Já existe um cliente registrado usando este endereço de e-mail. Faça o login usando este endereço de e-mail ou digitar um endereço de e-mail diferente para registrar a sua conta."
"There was an error processing your order. Please contact us or try again later.","Houve um erro ao processar sua ordem. Por favor, entre em contato conosco, ou tente novamente mais tarde."
"This condition no longer exists.","Esta condição não existe mais."
Total,Total
"Total for this address","Total para este endereço"
"Unable to set Payment Method.","Não é possível definir o método de pagamento."
"Unit Price","Preço unitário"
"Update Cart","Atualizar carrinho"
"Update Qty &amp; Addresses","Atualização Qty & endereços"
"Update Shopping Cart","Atualizar carrinho de compras"
"Update Total","Atualização Total"
"Update product quantities in shopping cart","Quantidades de produto de atualização no carrinho de compras"
"Update product(s) quantities in shopping cart","Atualizar as quantidades de produto (s) no carrinho de compras"
"Use Billing Address","Use o endereço de facturação"
"VAT Number","Número de IVA"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos a processar seu pedido e em breve você receberá um e-mail com detalhes da ordem. Uma vez que a ordem enviada você receberá outro e-mail com um link para acompanhar o seu progresso."
"What's this?","O que é isto?"
"You have no items in your shopping cart.","Você não tem nenhum item em seu carrinho de compras."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação de ordem com detalhes do seu pedido e um link para acompanhar o seu progresso."
"Your Checkout Progress","Seu progresso de Checkout"
"Your billing agreement # is: %s.","Seu acordo de faturamento # é: %s."
"Your order # is: %s.","Sua ordem é #: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Seu pedido não pode ser concluído neste momento, como não há nenhum métodos de pagamento disponíveis para ele."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Seu pedido não pode ser concluído neste momento, como não há nenhum método de transporte disponíveis para ele. Por favor, fazer as mudanças necessárias em seu endereço de envio."
"Your order has been received.","Seu pedido foi recebido."
"Your order number is ","É o seu número de ordem "
"Your recurring payment profiles:","Seus perfis de pagamento recorrente:"
"Zip/Postal Code","CEP/Código Postal"
