"(Make sure you keep it in a safe place.)","(Certifique-se de que mantê-lo em um lugar seguro.)"
"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para nenhum prefixo)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Caminho adicional adicionado após a Base URL para acessar seu painel administrativo (admin, back-end, controle etc.)."
"Admin Path","Caminho admin"
"After successfull installation please click the button below.","Após a instalação bem sucedida, por favor clique no botão abaixo."
"All packages were installed, click 'OK' to continue with installation.","Todos os pacotes foram instalados, clique em 'OK' para continuar a instalação."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Como alternativa, você pode tentar o método 'Manual Downloads e Upgrades'."
"Base URL","URL base"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de continuar a sua loja, por favor, tome nota da sua chave de criptografia (Magento usa para criptografar senhas, cartões de crédito e muito mais)."
"Check out our","Confira nossos"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Esta caixa de seleção somente se não for possível validar automaticamente Secure URL, por exemplo, se a autenticação HTTP for necessária."
"Check this box only if it is not possible to automatically validate the Base URL.","Esta caixa de seleção somente se não for possível validar automaticamente a URL Base."
"Choose this if you would like to test frontend and backend functionality.","Escolha esta opção se você gostaria de testar a funcionalidade do frontend e backend."
Configuration,Configuração
"Confirm Password","Confirmar senha"
Connection,Conexão
Continue,Continuar
"Continue After Manual Download","Continuar após o Download do Manual"
"Continue Full Download / SVN Installation","Continuar completo Download / instalação do SVN"
"Create Admin Account","Criar conta de administrador"
"Currently this is the most stable state available for Magento packages.","Atualmente, este é o estado mais estável disponível para pacotes do Magento."
Database,"Banco de dados"
"Database Connection","Conexão de banco de dados"
"Database Name","Nome do banco de dados"
"Database Name cannot be empty.","Nome do banco de dados não pode ser vazio."
"Database Type","Tipo de banco de dados"
"Database connection error.","Erro de conexão de banco de dados."
"Database host","Host do banco de dados"
"Database server does not support the InnoDB storage engine.","Servidor de banco de dados não suporta o mecanismo de armazenamento InnoDB."
"Database user name","Nome de usuário de banco de dados"
"Database user password","Senha de usuário do banco de dados"
"Default Currency","Moeda padrão"
Download,Baixar
"Download Magento Core Modules and Updates","Download de atualizações e módulos de núcleo Magento"
"Downloading and installing Magento, please wait...","Baixando e instalando o Magento, por favor aguarde..."
Email,Email
"Email Address","Endereço de e-mail"
"Enable Charts","Habilitar a gráficos"
"Enable this option if you want the charts to be displayed on Dashboard.","Active esta opção se você quer os gráficos a serem exibidos no painel de controle."
"Enable this option only if you have SSL available.","Habilite esta opção somente se você tiver o SSL disponível."
"Encryption Key","Chave de criptografia"
"File System","Sistema de arquivos"
"First Name","Primeiro nome"
"Full Download / SVN Installation","Full Download / instalação do SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Prepare-se experimentar o Open-Source eCommerce Evolved."
"Go to Backend","Ir para back-end"
"Go to Frontend","Ir para o Frontend"
"Having trouble installing Magento?","Tendo problemas para instalar o Magento?"
"Help Us to Keep Magento Healthy","Ajude-na manter o Magento saudável"
Host,Host
"I agree to the above terms and conditions.","Concordo com os termos e condições acima."
"If you are a developer and would like to have the latest public updates, choose this option.","Se você é um desenvolvedor e gostaria de ter as últimas atualizações públicas, escolha esta opção."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você estiver executando o PHP como CGI, seus processos PHP podem executar sob o mesmo usuário como o usuário que você usou ao carregar arquivos do Magento."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Se você estiver executando o assistente de instalação durante uma instalação Magento anteriormente baixada e instalada, prossiga com esse método."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Se você não quer ou não é capaz de ter pastas Magento graváveis para o processo de web, você poderia usar pêra executável localizada na raiz da instalação do Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Se você tiver baixado o pacote completo ou instalado Magento através de SVN, você deve ignorar a instalação de pacotes e validação clicando no botão abaixo."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Se você deseja gerenciar Magento pacotes através da interface de administração web, você precisará ter web gravável permissões aplicadas a todos os arquivos e pastas do Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Se seu servidor é executado no MS Windows, provavelmente você não precisará alterar nada."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Em outros casos, você precisará tornar Magento arquivos gravável para o usuário que está executando o processo do servidor web sob."
Installation,Instalação
"Installation Guide","Guia de instalação"
"Installer does not exist for %s database type","Instalador não existe para %s tipo de banco de dados"
"Last Name","Último nome"
"License Agreement","Contrato de licença"
Locale,Localidade
"Locale settings","Configurações de localidade"
Localization,Localização
"Login Information","Informações de login"
Magento,Magento
"Magento Connect Manager Deployment","Magento Connect Manager Deployment"
"Magento Installation Wizard","Assistente de instalação do Magento"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento é uma marca da Magento Inc. Copyright © %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento usa essa chave para criptografar senhas, cartões de crédito e muito mais. Se este campo for deixado vazio, o sistema criará uma chave de criptografia para você e irá exibi-la na próxima página."
"Manual Downloads and Upgrades","Manuais Downloads e Upgrades"
"No resource for %s DB model.","Nenhum recurso para %s DB modelo."
"One of PHP Extensions ""%s"" must be loaded.","Uma das extensões do PHP ""%s"" deve ser carregado."
"PHP Extension '%s' loaded","Extensão PHP ' %s' carregado"
"PHP Extensions ""%s"" must be loaded.","Extensões PHP ""%s"" deve ser carregado."
"PHP extension ""%s"" must be loaded.","Extensão PHP ""%s"" deve ser carregado."
"Package Management through the Web","Gerenciamento de pacotes através da Web"
Password,Senha
"Password Confirmation","Confirmação de senha"
"Path ""%s"" must be writable.","Caminho ""%s"" deve ser gravável."
"Personal Information","Informações pessoais"
"Please correct the user data and try again.","Por favor, corrija os dados de usuário e tente novamente."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor, certifique-se que <code>mod_rewrite</code> está habilitado na configuração do Apache."
"Please note that it is much less stable than beta.","Por favor, note que é muito menos estável que o beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Por favor, note que apenas conchas de UNIX, Linux e Mac OS X são atualmente suportadas. Para uso de Windows o ' %s' opção."
"Please set all required settings before clicking Continue","Por favor, defina todas as configurações necessárias antes de clicar em continuar"
"Preferred stability: %s","Preferiu a estabilidade: %s"
"Proceed With Automatic Download (%s)","Prossiga com o Download automático (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Fornece uma URL de base completa para a conexão SSL. Por exemplo: %s"
"Report All Bugs","Reportar todos os Bugs"
"Required Fields","Campos obrigatórios"
"Response from server isn\'t valid.","Resposta do servidor isn\ ' t válido."
"Run admin interface with SSL","Executar a interface de administração com SSL"
"Run this in your shell from Magento root folder:","Execute este em seu shell de pasta de raiz do Magento:"
"Save Session Data In","Salvar os dados da sessão em"
"Save Session Files In","Salvar arquivos de sessão em"
"Secure Base URL","Seguro Base URL"
"Session Storage Options","Opções de armazenamento de sessão"
"Setting preferred state to: %s","Configuração de estado preferencial: %s"
"Skip Base URL Validation Before the Next Step","Skip Base URL validação antes da próxima etapa"
"Skip Secure URL validation before next step","Validação de Skip Secure URL antes da próxima etapa"
"Tables Prefix","Prefixo das tabelas"
"The URL ""%s"" is invalid.","A URL ""%s"" é inválido."
"The URL ""%s"" is not accessible.","A URL ""%s"" não é acessível."
"The database server version doesn\'t match system requirements (required: %s, actual: %s).","O doesn\ de versão do servidor de banco de dados ' t coincidir com os requisitos do sistema (necessário: %s, real: %s)."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","O prefixo de tabela deve conter somente letras (a-z), números (0-9) ou sublinhados (_), o primeiro caractere deve ser uma carta."
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","Houve um problema ao instalar pacotes de Magento. Leia o diário, corrigir erros e tente novamente."
"Time Zone","Fuso horário"
"Use Secure URLs (SSL)","Usar URLs seguras (SSL)"
"Use Web Server (Apache) Rewrites","Reescreve a usar o servidor Web (Apache)"
"User Name","Nome de usuário"
"User Password","Senha de usuário"
Username,"Nome de usuário"
Validation,Validação
"Web access options","Opções de acesso Web"
Welcome,Bem-vindo
"Welcome to Magento's Installation Wizard","Bem-vindo ao Magento do assistente de instalação"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Você pode especificar a porta do servidor, ex.: localhost:3307 < br / > se você não estiver usando socket de UNIX padrão, você pode especificá-lo aqui em vez de host, ex.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Você pode habilitar essa opção para usar a funcionalidade de regravações de servidor web para otimização de motores de pesquisa aprimorada."
"You're All Set","Está tudo pronto"
"You're All Set!","Está tudo pronto!"
